DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2009-2010 Regular Season,02/19/10,Miami,Road,21,25,17,13,9,15,,,100,290,38,90,8,20,16,23,9,42,51,19,23,11,20,7,100,107.4,88.9,93.1,81.0,3IN4,Q.Richardson,M.Beasley,J.O`Neal,D.Cook,C.Arroyo,Bennett Salvatore,Bennie Adams,188.5,5.5,188.5,,188.5,240,,,
2009-2010 Regular Season,02/19/10,Memphis,Home,14,17,26,19,9,2,,,87,290,34,89,5,20,14,18,9,36,45,21,26,9,21,6,87,107.4,88.9,81.0,93.1,3IN4,R.Gay,Z.Randolph,M.Gasol,O.Mayo,M.Conley,,Eli Roe,-5.5 -07,-5.5,188.5,6 -05 / -6.5 -05 / -6 -05,-6.5 -05,-280,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Chicago,Road,30,25,22,23,,,,,100,240,38,88,2,15,22,31,16,35,51,20,19,5,12,1,100,96.5,96.5,103.6,97.4,3IN4,L.Deng,T.Gibson,B.Miller,K.Hinrich,D.Rose,David Jones,Matt Boland,-2.5,-2.5,204.5,1.5 -05 / -1 -05 / -1.5 -05,-2 -05,-130,,,
2009-2010 Regular Season,02/19/10,Minnesota,Home,29,29,18,18,,,,,94,240,38,84,7,17,11,20,7,34,41,20,21,6,14,4,94,96.5,96.5,97.4,103.6,3IN4,R.Gomes,A.Jefferson,R.Hollins,C.Brewer,J.Flynn,,Tony Brown,204.5,2.5,204.5,4.5,205.5,110,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Toronto,Road,32,24,26,24,,,,,106,240,43,72,6,12,14,25,4,36,40,30,19,5,18,4,106,95.0,95.0,111.5,93.7,1,H.Turkoglu,A.Bargnani,R.Nesterovic,D.DeRozan,J.Jack,Scott Foster,Courtney Kirkland,-3.5 +06,-3.5,198.5,3 -05 / -2.5 -05 / -2 -05,-2.5 -05,-140,,,
2009-2010 Regular Season,02/19/10,New Jersey,Home,21,20,30,18,,,,,89,240,33,79,8,19,15,23,7,26,33,20,20,9,14,8,89,95.0,95.0,93.7,111.5,3IN4,J.Hayes,Y.Jianlian,B.Lopez,C.Lee,D.Harris,,Sean Wright,198.5,3.5,198.5,98.5,199,120,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Indiana,Road,19,24,28,30,,,,,101,240,39,90,10,27,13,15,6,29,35,24,24,8,10,8,101,99.7,99.7,101.3,107.3,1,D.Granger,T.Murphy,R.Hibbert,B.Rush,E.Watson,Ken Mauer,Ed Malloy,204,4.5,204,05.5 / 206 / 205.5,205,160,,,
2009-2010 Regular Season,02/19/10,New Orleans,Home,31,31,21,24,,,,,107,240,39,84,7,18,22,32,15,41,56,27,14,6,20,5,107,99.7,99.7,107.3,101.3,1,P.Stojakovic,D.West,E.Okafor,M.Peterson,D.Collison,,Tommy Nunez Jr.,-4.5,-4.5,204,4.5  / -4.5 -05 / -4 -05,-4.5 -05,-180,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Dallas,Road,23,19,23,30,,,,,95,240,38,84,5,15,14,18,8,37,45,23,16,9,11,7,95,92.2,92.2,103.0,92.2,3IN4,S.Marion,D.Nowitzki,B.Haywood,C.Butler,J.Kidd,Tom Washington,Jason Phillips,201,5.5,201,02.5 / 203 / 203.5,204,240,,,
2009-2010 Regular Season,02/19/10,Orlando,Home,33,14,22,16,,,,,85,240,36,87,4,25,9,12,12,35,47,18,19,5,13,6,85,92.2,92.2,92.2,103.0,1,M.Barnes,R.Lewis,D.Howard,V.Carter,J.Nelson,,Mark Ayotte,-5.5,-5.5,201,5.5  / -6  / -6 -05,-6.5 -05,-280,,Boxscore,Odds
